"In parts of India, old wives’ tales about women’s impurity during menstruation persist. http://on.wsj.com/19t3p18
 
Some of the strictures still in place for women during their monthly period include: 

Don’t enter the kitchen.
Don’t touch the pickles. 
Don’t go into the wine cellar. 
Don't swim.",1381129201,73,80,233,2013-10-07 12:30:01,link,shared_story
"Make way for Thanksgivukkah. This year, Thanksgiving and the first day of Hanukkah fall on the same date: Nov. 28. This may not happen again for another 70,000+ years.",1380894572,34,391,986,2013-10-04 19:19:32,link,shared_story
"Most airlines say they never use 13 and 911 for flight numbers. And tradition holds that the flight numbers of crashed planes are never used again. Meanwhile, flights to Las Vegas are more likely to include the number ""7.""

What do you think of superstitions based on numbers?",1380818885,116,112,708,2013-10-03 22:18:05,link,shared_story
"Many companies make the mistake of listing too many requirements in their job ads, deterring qualified candidates from applying.

Would you apply for a job if you didn't meet every single requirement?",1380733681,196,194,1004,2013-10-02 22:38:01,link,shared_story
"Entering into intimate relationships too early can leave teens ill-prepared to handle typical problems couples face and without the support of peers at the same stage of romantic development, researchers said.",1380641374,186,560,1255,2013-10-01 20:59:34,link,shared_story
"The looming government shutdown would prompt federal agencies to suspend many activities and furlough at least 825,000 of the U.S. government's workers.

Do you think a government shutdown can be averted? Who is to blame?",1380575031,208,75,350,2013-10-01 02:33:51,link,shared_story
online.wsj.com,1380307586,14,47,223,2013-09-28 00:16:26,link,shared_story
"Love can be complicated. Ever wanted to study it? One of India’s most prestigious universities is making love part of its curriculum. http://on.wsj.com/16YKskd

The class will teach different forms of love and its interplay with society and culture. Would you sign up?",1380085201,67,178,638,2013-09-25 10:30:01,link,shared_story
"People who help friends while expecting nothing in return are happier, new research shows. But tension can arise when one friend keeps giving and the other rarely returns the favor.

What's your philosophy about helping others?",1380032439,211,1521,3653,2013-09-24 19:50:39,link,shared_story
blogs.wsj.com,1379950661,20,36,273,2013-09-23 21:07:41,link,shared_story
"If it were anyone else, Wall Street would probably laugh him off. But because it's Jeremy Grantham, they just might listen.",1379868553,64,401,1186,2013-09-22 22:19:13,link,shared_story
"A super typhoon is the most intense of tropical cyclones, with a sustained wind speed of 114 miles an hour or above.",1379704178,63,237,646,2013-09-21 00:39:38,link,shared_story
"Panera Bread CEO Ron Shaich is trying to eat on $4.50 a day for a week. That's the average amount allocated to individuals in the federal food stamp program. It’s not going so well.

“I’ve been eating a lot of carbs and drinking a lot of water,” said Mr. Shaich. ""I can’t even go into a Panera.”",1379531351,367,628,1912,2013-09-19 00:39:11,link,shared_story
